sending_facility,sending_facility_oid
PROVIDENCE WILLAMETTE FALLS MED CTR POSTPARTUM SVCS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HOSPITALISTS EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE LOMBARD,1.2.840.114350.1.13.297.2.7.2.696570.405774
Rogue Community Health Behavioral Health Eagle Point Middle School,1.2.840.114350.1.13.66.2.7.2.696570.34
PROVIDENCE NEWBERG MED CTR ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Hanby Middle School,1.2.840.114350.1.13.66.2.7.2.696570.30
Rogue Community Health Behavioral Health Ashland,1.2.840.114350.1.13.66.2.7.2.696570.34
Rogue Community Health Behavioral Health White City,1.2.840.114350.1.13.66.2.7.2.696570.34
Rogue Community Health Behavioral Health Ashland School Based Health Center,1.2.840.114350.1.13.66.2.7.2.696570.34
OPH REGIONAL LAB CYTOPATHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
Rogue Community Health Behavioral Health Table Rock,1.2.840.114350.1.13.66.2.7.2.696570.34
Rogue Community Health Behavioral Health Integrative,1.2.840.114350.1.13.66.2.7.2.696570.34
OSS EXTERNAL IMAGING,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR SE DIAGNOSTIC IMAGING US,1.2.840.114350.1.13.297.2.7.2.696570.40
Gilchrist SBHC,1.2.840.114350.1.13.66.2.7.2.696570.14
PROVIDENCE PORTLAND MED CTR SE DIAGNOSTIC IMAGING MRI,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG West Hills Primary Care,1.2.840.114350.1.13.297.2.7.2.696570.40
Rogue Community Health Behavioral Health White Mountain Middle SBHC,1.2.840.114350.1.13.66.2.7.2.696570.34
ROBERTS STREET CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
Womens Health Center of Southern Oregon,2.16.840.1.113883.3.441.1.50.96
PROVIDENCE MILWAUKIE HOSPITAL MP INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
WILLAMETTE VALLEY PHYSICIANS HEALTH AUTHORITY,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Cath Lab Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
OHR EXTERNAL IMAGING,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL MRI,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR THERAPY HAND ASHLAND OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG AT ST VINCENT,1.2.840.114350.1.13.297.2.7.2.696570.405550
RRMC Black Oak Laboratory,1.2.840.114350.1.13.333.2.7.2.696570.10
OSV WILSONVILLE,1.2.840.114350.1.13.297.2.7.2.696570.405161013
PROVIDENCE SAINT VINCENT MED CTR PSC,1.2.840.114350.1.13.297.2.7.2.696570.40
DC BEND OMC,1.2.840.114350.1.13.66.2.7.2.696570.14
PMG OREGON CITY GENERAL VASCULAR AND THORACIC SURG,1.2.840.114350.1.13.297.2.7.2.696570.405636
Hui Ning Fung,1.2.840.114350.1.13.297.2.7.2.696570.40
JV CMB EXTERNAL IMAGING,1.2.840.114350.1.13.297.2.7.2.696570.903
PROVIDENCE MEDFORD MED CTR EAGLE POINT XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PAIN MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Provider OB,1.2.840.114350.1.13.333.2.7.2.696570.10
Northwest Renal Clinic Newberg,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSP PROVIDER ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
WARRENTON FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Urology,1.2.840.114350.1.13.333.2.7.2.696570.10
Community Clinic Of Bend,1.2.840.114350.1.13.66.2.7.2.696570.70
PROVIDENCE PORTLAND MED CTR THERAPY IRF,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR SURGICAL ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MMC ELLENDALE PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG West Hills Primary Care Psychology,1.2.840.114350.1.13.297.2.7.2.696570.40
Rogue Community Health Behavioral Health Medford,1.2.840.114350.1.13.66.2.7.2.696570.34
MOSAIC MEDICAL BEND,1.2.840.114350.1.13.66.2.7.2.696570.70003
Rogue Community Health Behavioral Health Eagle Point High School,1.2.840.114350.1.13.66.2.7.2.696570.34
Rogue Community Health Behavioral Health Prospect SBHC,1.2.840.114350.1.13.66.2.7.2.696570.34
PROVIDENCE MEDFORD MED CTR INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV OR COMMUNITY HEALTH DIVISION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDICAL GROUP SOUTHWEST PEDIATRIC PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
OMW EXTERNAL IMAGING,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG PATIENT SAFETY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
AACH UR/ED Case Management,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV STV HCC PORTLAND CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.405700
RRMC Respiratory Therapy,1.2.840.114350.1.13.333.2.7.2.696570.10
Willamette Falls Peds OC,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM RAD ONC,1.2.840.114350.1.13.333.2.7.2.696570.60
TRMC NM Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Physician Partners Urgent Care White City,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV HH TORRANCE,1.2.840.114350.1.13.297.2.7.2.696570.50
Asante Physician Partners Urgent Care Grants Pass,1.2.840.114350.1.13.333.2.7.2.696570.10
"Siskiyou Pediatric Clinic, LLP",2.16.840.1.113883.3.441.1.50.98032
PMG BREAST SURGERY WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
WellSpring Family Practice,2.16.840.1.113883.3.441.1.50.98001
JV CMB CENTER FOR MEDICAL IMAGING BRIDGEPORT LLC,1.2.840.114350.1.13.297.2.7.2.696570.903100
PMG ESTHER SHORT PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG ENDOCRINOLOGY WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NORTH PORTLAND XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WOMENS CLINIC BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV STV CARDIAC DEVICE AND MONITORING CLINIC PENDLETON,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE EXPRESS CARE SMART EXAM,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG WEST LINN PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
APP Cardiothoracic and Vascular Surgeons,1.2.840.114350.1.13.333.2.7.2.696570.10
Providence Neurological Specialties Bridgeport,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH GRESHAM,1.2.840.114350.1.13.297.2.7.2.696570.405141005
PROV CTR ADV ATRIAL FIBRILLATION   ,1.2.840.114350.1.13.297.2.7.2.696570.405694
PROVIDENCE NEWBERG MED CTR REHABILITATION SERVICES OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEWBERG OT AND SLP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS THERAPY OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV CDI NEWBERG THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV NEWBERG AUDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD MEDICAL CLINIC STEWART MEADOWS PRIMARY CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD MEDICAL CLINIC STEWART MEADOWS ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MMC STEWART MEADOWS PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Stewart Meadows Urgent Care,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD MEDICAL CLINIC STEWART MEADOWS LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SPORTS MEDICINE STEWART MEADOWS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV STV HCC PTLD CLINIC BVTN,1.2.840.114350.1.13.297.2.7.2.696570.405649
PMG MEDFORD MEDICAL CLINIC STEWART MEADOWS XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG DOCTORS CLINIC PMMC CAMPUS INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER NEUROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV THERAPY SPORTS CARE CENTER OP,1.2.840.114350.1.13.297.2.7.2.696570.405161014
MOSAIC MEDICAL PRINEVILLE,1.2.840.114350.1.13.66.2.7.2.696570.70001
PMG BATTLE GROUND WALK IN,1.2.840.114350.1.13.297.2.7.2.696570.405556
SLM MED ONC,1.2.840.114350.1.13.333.2.7.2.696570.60
Beaverton Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
OMD PROVIDENCE MEDFORD MEDICAL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.403101
PMG DOCTORS CLINIC PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
LPCH LA PINE CHC,1.2.840.114350.1.13.66.2.7.2.696570.71001
CSJ PROVIDENCE ST JOSEPH OUTPATIENT DIAGNOSTIC CENTER,1.2.840.114350.1.13.297.2.7.2.696570.501121002
PROVIDENCE MEDICAL GROUP HAPPY VALLEY URGENT CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR PROVIDER SURGICAL,1.2.840.114350.1.13.297.2.7.2.696570.40
MOSAIC MEDICAL BRIDGES HEALTH,1.2.840.114350.1.13.66.2.7.2.696570.70082
TRMC Emergency Department,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE PORTLAND MED CTR ORGAN ACQUISITION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CD INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties at Willamette Falls,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Black Oak US Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Providence Neurological Specialties Keizer,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL THERAPY ACUTE,1.2.840.114350.1.13.297.2.7.2.696570.40
EMC Family Medicine,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM HEALTH INFORMATION MGMT,1.2.840.114350.1.13.333.2.7.2.696570.60
Providence Portland Medical Center Rehab Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
Saban Community Clinic,1.2.840.114350.1.13.66.2.7.2.696570.35
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER TOC,1.2.840.114350.1.13.297.2.7.2.696570.40
MOSAIC MEDICAL COMPLEX CARE,1.2.840.114350.1.13.66.2.7.2.696570.70008
PROVIDENCE ST VINCENT MED CTR REHABILITATION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ST VINCENT MED CTR NEURO REHAB SVS,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Cath Lab Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
PMG Newberg Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
MOSAIC MEDICAL INTERNAL MEDICINE,1.2.840.114350.1.13.66.2.7.2.696570.70080
PMG MEDFORD MEDICAL CLINIC STEWART MEADOWS CT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE ELLENDALE THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV INFUSION PHARMACY SVCS PORTLAND EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PD PACU,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BRIDGEPORT SPORTS MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties Stroke Center - East,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD MEDICAL CLINIC STEWART MEADOWS ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM PHARMACY,1.2.840.114350.1.13.333.2.7.2.696570.60
TRMC Family Birth Center,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE NEWBERG MED CTR MARION COUNTY LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
MM Ariels,1.2.840.114350.1.13.66.2.7.2.696570.70010
DC BEND,1.2.840.114350.1.13.66.2.7.2.696570.14001
PMG OUTCOMES AND EVALUATION,1.2.840.114350.1.13.297.2.7.2.696570.40
Verdura Family Wellness,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EMPLOYEE CLINIC PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.4055241
MOSAIC MED REDMOND LYNCH SBHC,1.2.840.114350.1.13.66.2.7.2.696570.70007
MOSAIC MEDICAL BRIDGES DISTRIBUTED,1.2.840.114350.1.13.66.2.7.2.696570.70083
DC WALL STREET,1.2.840.114350.1.13.66.2.7.2.696570.14013
MOSAIC MEDICAL CROOK CO SBHC,1.2.840.114350.1.13.66.2.7.2.696570.70005
Asante Center for Outpatient Health Endoscopy,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV NEUROLOGICAL SPECIALTIES PSV,1.2.840.114350.1.13.297.2.7.2.696570.405710
DC REDMOND,1.2.840.114350.1.13.66.2.7.2.696570.14002
Valley Emmediate Care Brookings,
KLAMATH ORTHOPEDIC CLINIC,2.16.840.1.113883.3.4586.12.1
GPC Lab,1.3.6.1.4.1.22812.3.6019501.3.3
Grants Pass Clinic,1.3.6.1.4.1.22812.3.6019501.3.3
Acute Care,1.3.6.1.4.1.22812.3.6019501.3.3
Internal Medicine East,1.3.6.1.4.1.22812.3.6019501.3.3
Family Practice,1.3.6.1.4.1.22812.3.6019501.3.3
Internal Medicine West,1.3.6.1.4.1.22812.3.6019501.3.3
Surgery,1.3.6.1.4.1.22812.3.6019501.3.3
Valley Immediate Care Brookings,
Valley Immediate Care Medford Occ Health,
Reliance eHealth Collaborative,1.3.6.1.4.1.22812.4.59388.0.0
Reliance eHealth Collaborative,2.16.840.1.113883.3.5783
Valley Immediate Medford Occ. Health,
VIC Unused,
Valley Immediate Care Ashland,
Valley Immediate Care Medford Occ. Health,
Shady Cove Clinic,2.16.840.1.113883.4.6
Bear Creek Clinic,2.16.840.1.113883.4.6
PROVIDENCE HOOD RIVER MEMORIAL HOSP PULMONARY FUNCTION,1.2.840.114350.1.13.297.2.7.2.696570.40
Sanford Health and Affiliates,1.2.840.114350.1.13.138.2.7.2.688879.1600
Sanford Health and Affiliates,1.2.840.114350.1.13.138.3.7.2.688879.1600
Dermatology Hood River,1.2.840.114350.1.13.135.2.7.2.688879.2400
Celilo Cancer Center,1.2.840.114350.1.13.135.2.7.2.688879.2400
Celilo Cancer Center - Lab,1.2.840.114350.1.13.135.2.7.2.688879.2400
Celilo Cancer Center - Medical Oncology,1.2.840.114350.1.13.135.2.7.2.688879.2400
Laboratory at Mid-Columbia Medical Center,1.2.840.114350.1.13.135.2.7.2.688879.2400
MCMC Family Medicine,1.2.840.114350.1.13.135.2.7.2.688879.2400
Outpatient Therapy at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Laboratory at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Water's Edge Medical Clinic Internal Medicine,1.2.840.114350.1.13.135.2.7.2.688879.2400
Water's Edge Medical Clinic Cardiology,1.2.840.114350.1.13.135.2.7.2.688879.2400
Mid Columbia Surgery Clinic,1.2.840.114350.1.13.135.2.7.2.688879.2400
Columbia Crest Pediatrics,1.2.840.114350.1.13.135.2.7.2.688879.2400
Anticoagulation at Columbia Crest Clinic,1.2.840.114350.1.13.135.2.7.2.688879.2400
Gorge Urology The Dalles,1.2.840.114350.1.13.135.2.7.2.688879.2400
Laboratory at Columbia River Women's Clinic,1.2.840.114350.1.13.135.2.7.2.688879.2400
Hood River Therapy,1.2.840.114350.1.13.135.2.7.2.688879.2400
Dermatology at Columbia Crest Clinic,1.2.840.114350.1.13.135.2.7.2.688879.2400
Mid-Columbia Medical Center,1.2.840.114350.1.13.135.2.7.2.688879.2400
Celilo Cancer Center - Radiation,1.2.840.114350.1.13.135.2.7.2.688879.2400
Columbia River Women's Center,1.2.840.114350.1.13.135.2.7.2.688879.2400
Water's Edge Medical Clinic Internal Medicine,1.2.840.114350.1.13.135.2.7.2.696570.31
Laboratory at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Occupational Health at Columbia View Clinic,1.2.840.114350.1.13.135.2.7.2.696570.31
Anticoagulation at Columbia Crest Clinic,1.2.840.114350.1.13.135.2.7.2.696570.31
Dermatology at Columbia Crest Clinic,1.2.840.114350.1.13.135.2.7.2.696570.31
Celilo Cancer Center - Medical Oncology,1.2.840.114350.1.13.135.2.7.2.696570.31
Columbia River Women's Center,1.2.840.114350.1.13.135.2.7.2.696570.31
Outpatient Therapy at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Water's Edge Medical Clinic Cardiology,1.2.840.114350.1.13.135.2.7.2.696570.31
Laboratory at MCMC Family Medicine,1.2.840.114350.1.13.135.2.7.2.696570.31
Laboratory at Mid-Columbia Medical Center,1.2.840.114350.1.13.135.2.7.2.696570.31
Celilo Cancer Center - Lab,1.2.840.114350.1.13.135.2.7.2.696570.31
MCMC Family Medicine,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid Columbia Surgery Clinic,1.2.840.114350.1.13.135.2.7.2.696570.31
Celilo Cancer Center - Radiation Oncology,1.2.840.114350.1.13.135.2.7.2.696570.31
MCMC Family Medicine - Behavioral Health,1.2.840.114350.1.13.135.2.7.2.696570.31
Dermatology Hood River,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Medical Center,1.2.840.114350.1.13.135.2.7.2.696570.31
Water's Edge Sports Medicine &amp; Orthopaedic Surgery,1.2.840.114350.1.13.135.2.7.2.696570.31
Cardiac Rehabilitation at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Cardiology at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Gorge Urology The Dalles,1.2.840.114350.1.13.135.2.7.2.696570.31
Massage &amp; Acupuncture at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Water's Edge Medical Clinic - Sleep Medicine,1.2.840.114350.1.13.135.2.7.2.696570.31
Laboratory at Columbia River Women's Clinic,1.2.840.114350.1.13.135.2.7.2.696570.31
Sleep Medicine at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Hood River Therapy,1.2.840.114350.1.13.135.2.7.2.696570.31
Celilo Cancer Center - Radiation,1.2.840.114350.1.13.135.2.7.2.696570.31
Laboratory at Medical Office Building,1.2.840.114350.1.13.135.2.7.2.696570.31
Diabetes Education at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Laboratory at Columbia Crest,1.2.840.114350.1.13.135.2.7.2.696570.31
Columbia Crest Behavioral Health,1.2.840.114350.1.13.135.2.7.2.696570.31
Gorge Urology Hood River,1.2.840.114350.1.13.135.2.7.2.696570.31
Nephrology Clinic at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Nutrition at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Pulmonary Rehabilitation at Water's Edge,1.2.840.114350.1.13.135.2.7.2.696570.31
Urology at Columbia Gorge Family Medicine,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Cardiology at Klickitat,1.2.840.114350.1.13.135.2.7.2.696570.31
Pediatric Cardiology at Mid-Columbia Medical Center,1.2.840.114350.1.13.135.2.7.2.696570.2
Emergency Department at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Occupational Therapy at Nichol's Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
Diagnostic Imaging at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Ultrasound at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Same Day Surgery at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Telemetry at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Mammography at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Cardiopulmonary Services at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Same Day Procedures at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Maternity Services at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Physical Therapy at Nichol's Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
PET CT at Patient Access Center,1.2.840.114350.1.13.135.2.7.2.696570.31
Endoscopy Department at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Acute Care at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
RRMC Coronary Care Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
Columbia Hills Family Medicine,1.2.840.114350.1.13.135.2.7.2.688879.2400
Sleep Medicine at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Laboratory at MCMC Family Medicine,1.2.840.114350.1.13.135.2.7.2.688879.2400
Massage &amp; Acupuncture at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Occupational Health at Columbia View Clinic,1.2.840.114350.1.13.135.2.7.2.688879.2400
PC AUBURN,1.2.840.114350.1.13.66.2.7.2.696570.32001
Pre-Operative Clinic at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Nuclear Medicine at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Valley Immediate Care Aesthetics ,
Post Partum Care Clinic at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
MCMC Neurology at Columbia Crest Professional Center,1.2.840.114350.1.13.135.2.7.2.696570.31
MOSAIC MEDICAL REDMOND PC,1.2.840.114350.1.13.66.2.7.2.696570.70006
Water's Edge Sports Medicine &amp; Orthopaedic Surgery,1.2.840.114350.1.13.135.2.7.2.688879.2400
Celilo Cancer Center - Radiation Oncology,1.2.840.114350.1.13.135.2.7.2.688879.2400
Columbia Crest Behavioral Health,1.2.840.114350.1.13.135.2.7.2.688879.2400
Pulmonary Rehabilitation at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Nutrition at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Diabetes Education at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Water's Edge Medical Clinic - Sleep Medicine,1.2.840.114350.1.13.135.2.7.2.688879.2400
Nephrology Clinic at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
Cardiac Rehabilitation at Water's Edge,1.2.840.114350.1.13.135.2.7.2.688879.2400
MCMC Family Medicine - Behavioral Health,1.2.840.114350.1.13.135.2.7.2.688879.2400
PROVIDENCE SAINT VINCENT MED CTR OP MENTAL HEALTH,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EC WALGREENS RALEIGH HILLS,1.2.840.114350.1.13.297.2.7.2.696570.405546
SLM SURGERY,1.2.840.114350.1.13.333.2.7.2.696570.60
Bone Density at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
Mid-Columbia Speech Therapy at Nichol's Landing,1.2.840.114350.1.13.135.2.7.2.696570.31
Intensive Care Unit at MCMC Hospital,1.2.840.114350.1.13.135.2.7.2.696570.31
MCMC Gorge Neurology,1.2.840.114350.1.13.135.2.7.2.696570.31
MCMC Hospital Billing,1.2.840.114350.1.13.135.2.7.2.696570.31
Oregon Ear Nose and Throat Surgery Center,2.16.840.1.113883.19.1.5131-12406-1404
RRMC CT Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Mosaic Medical East Bend Dental,1.2.840.114350.1.13.66.2.7.2.696570.70
DESCHUTES COUNTY HEALTH DEPT,1.2.840.114350.1.13.66.2.7.2.696570.14
TRMC Women's Imaging Dexa,1.2.840.114350.1.13.333.2.7.2.696570.10
La Pine Community Health Center - Christmas Valley,1.2.840.114350.1.13.66.3.7.2.696570.71
DC DOWNTOWN,1.2.840.114350.1.13.66.2.7.2.696570.14006
PROV ONCOLOGY AND HEMATOLOGY CARE,1.2.840.114350.1.13.297.2.7.2.696570.405613
KLAMATH ORTHOPEDIC CLINIC,
Asante Physician Partners Audiology GP,1.2.840.114350.1.13.333.2.7.2.696570.10
Eagle Point Medical Clinic,2.16.840.1.113883.4.6
PMG NEWBERG SPEC AT BRIDGEPORT,1.2.840.114350.1.13.297.2.7.2.696570.401505
PROVIDENCE COLUMBIA GORGE HEART CLINIC ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
DC NORTH COUNTY,1.2.840.114350.1.13.66.2.7.2.696570.14011
Reliance MH-SU,1.3.6.1.4.1.22812.4.59388.0.0
SLM AFM XRAY IMG,1.2.840.114350.1.13.333.2.7.2.696570.60
Oregon Health &amp; Science University,1.2.840.114350.1.13.135.2.7.2.688879.2400
PROVIDENCE SEASIDE HOSPITAL CANCELED VISITS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV CANNON BEACH WALK-IN CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
OHSU RICHMOND,1.2.840.114350.1.13.66.2.7.2.696570.15001
CROOK COUNTY HEALTH DEPARTMENT,1.2.840.114350.1.13.66.2.7.2.696570.56001
PROVIDENCE WILLAMETTE FALLS  IV THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
Gastroenterology Specialists OR OC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CAMAS,1.2.840.114350.1.13.297.2.7.2.696570.405525
PROVIDENCE MEDFORD MED CTR NUTRITION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM INFECTION PROV,1.2.840.114350.1.13.333.2.7.2.696570.60
PROV OB HOSPITALIST PSVMC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR MRI,1.2.840.114350.1.13.297.2.7.2.696570.40
MOSAIC MEDICAL,1.2.840.114350.1.13.66.2.7.2.696570.70
PROV HC TOC GATEWAY,1.2.840.114350.1.13.297.2.7.2.696570.405644
APP Cardiovascular and Thoracic Surgeons,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDICAL GROUP SHERWOOD IMMEDIATE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
